date,hour,demand,temp,is_holiday
2023-01-01 00:00:00,0,54,13.282570677500331,0
2023-01-01 01:00:00,1,50,7.750224495775075,0
2023-01-01 02:00:00,2,63,7.624893666449919,0
2023-01-01 03:00:00,3,79,11.498561373247586,1
2023-01-01 04:00:00,4,72,11.211070667397282,0
2023-01-01 05:00:00,5,84,12.018588620226996,0
2023-01-01 06:00:00,6,115,17.03125576798894,0
2023-01-01 07:00:00,7,120,17.786728313152615,0
2023-01-01 08:00:00,8,120,20.104914773778887,0
2023-01-01 09:00:00,9,140,24.147847732535304,0
2023-01-01 10:00:00,10,138,24.24978201011287,0
2023-01-01 11:00:00,11,143,30.208105782810584,0
2023-01-01 12:00:00,12,152,27.08415879137837,0
2023-01-01 13:00:00,13,129,30.973116395574856,0
2023-01-01 14:00:00,14,126,32.86766567731969,0
2023-01-01 15:00:00,15,129,26.90466728434648,0
2023-01-01 16:00:00,16,114,27.97358368613949,0
2023-01-01 17:00:00,17,116,29.35548259763659,0
2023-01-01 18:00:00,18,91,27.31448909546205,0
2023-01-01 19:00:00,19,73,22.24519925024873,0
2023-01-01 20:00:00,20,89,18.530657812646282,0
2023-01-01 21:00:00,21,62,19.323681193636315,0
2023-01-01 22:00:00,22,57,17.367098205163213,0
2023-01-01 23:00:00,23,37,10.599605491109738,0
2023-01-02 00:00:00,0,44,8.931918664222852,0
2023-01-02 01:00:00,1,52,10.791255101076516,0
2023-01-02 02:00:00,2,45,11.258721266857783,0
2023-01-02 03:00:00,3,68,9.742603566649207,0
2023-01-02 04:00:00,4,69,12.698333602120313,0
2023-01-02 05:00:00,5,84,11.50865897445976,0
2023-01-02 06:00:00,6,94,10.77061280185253,0
2023-01-02 07:00:00,7,131,16.564007404309603,0
2023-01-02 08:00:00,8,125,20.126464293026203,0
2023-01-02 09:00:00,9,124,22.03651053123229,0
2023-01-02 10:00:00,10,151,22.68279347268103,1
2023-01-02 11:00:00,11,136,23.43976986010784,0
2023-01-02 12:00:00,12,152,27.63207642910859,0
2023-01-02 13:00:00,13,128,31.454569806190168,0
2023-01-02 14:00:00,14,130,32.512394878827365,0
2023-01-02 15:00:00,15,137,32.03468503116759,0
2023-01-02 16:00:00,16,132,27.028434967547284,1
2023-01-02 17:00:00,17,114,24.76365516460475,0
2023-01-02 18:00:00,18,99,25.99326922995979,0
2023-01-02 19:00:00,19,84,23.85839047422106,0
2023-01-02 20:00:00,20,60,20.800339210400995,0
2023-01-02 21:00:00,21,57,13.383683000499264,0
2023-01-02 22:00:00,22,52,13.26623083023307,0
2023-01-02 23:00:00,23,62,12.869554607562572,1
2023-01-03 00:00:00,0,53,12.314182351416466,0
2023-01-03 01:00:00,1,34,11.87535646231429,0
2023-01-03 02:00:00,2,60,10.28850704456408,0
2023-01-03 03:00:00,3,61,11.002309350185788,0
2023-01-03 04:00:00,4,68,11.509476878877823,0
2023-01-03 05:00:00,5,93,14.30017093657149,0
2023-01-03 06:00:00,6,110,15.625731302981823,0
2023-01-03 07:00:00,7,122,17.543284869069367,0
2023-01-03 08:00:00,8,116,19.46326240172524,0
2023-01-03 09:00:00,9,132,22.75077330111017,0
2023-01-03 10:00:00,10,146,25.96918275767855,0
2023-01-03 11:00:00,11,158,27.6060185896616,0
2023-01-03 12:00:00,12,145,29.421906874534894,1
2023-01-03 13:00:00,13,146,32.344701985593055,1
2023-01-03 14:00:00,14,132,30.530327845493176,0
2023-01-03 15:00:00,15,123,28.361261221944368,0
2023-01-03 16:00:00,16,133,30.42746760983273,0
2023-01-03 17:00:00,17,126,24.33867113652764,0
2023-01-03 18:00:00,18,99,22.837173238521427,0
2023-01-03 19:00:00,19,97,23.259884980465348,0
2023-01-03 20:00:00,20,79,21.032793335573157,0
2023-01-03 21:00:00,21,58,14.9217071019668,0
2023-01-03 22:00:00,22,60,14.234365038026503,0
2023-01-03 23:00:00,23,67,11.716764523695211,0
2023-01-04 00:00:00,0,50,10.366393316392418,0
2023-01-04 01:00:00,1,67,12.227937289655209,0
2023-01-04 02:00:00,2,30,11.413010927094506,0
2023-01-04 03:00:00,3,73,10.302497377401902,0
2023-01-04 04:00:00,4,76,10.247822107925758,0
2023-01-04 05:00:00,5,84,10.229632847694244,0
2023-01-04 06:00:00,6,101,17.840369877563898,0
2023-01-04 07:00:00,7,93,18.59603734954463,0
2023-01-04 08:00:00,8,123,18.586661791853718,0
2023-01-04 09:00:00,9,139,24.027389446274988,0
2023-01-04 10:00:00,10,158,24.85955275885075,0
2023-01-04 11:00:00,11,143,26.49684880214079,0
2023-01-04 12:00:00,12,142,29.53067709442359,1
2023-01-04 13:00:00,13,143,28.17626176306523,0
2023-01-04 14:00:00,14,152,29.31248696097978,0
2023-01-04 15:00:00,15,139,29.90218039128977,0
2023-01-04 16:00:00,16,120,27.66135165207396,0
2023-01-04 17:00:00,17,118,28.409238232400522,0
2023-01-04 18:00:00,18,101,28.73813300735652,0
2023-01-04 19:00:00,19,97,21.079594185810922,0
2023-01-04 20:00:00,20,68,16.66974940739191,0
2023-01-04 21:00:00,21,61,13.408329214022267,0
2023-01-04 22:00:00,22,53,14.69906371701004,0
2023-01-04 23:00:00,23,37,11.602603007882163,0
2023-01-05 00:00:00,0,53,11.755466964289774,0
2023-01-05 01:00:00,1,54,10.60593708116152,0
2023-01-05 02:00:00,2,57,6.793566306771808,0
2023-01-05 03:00:00,3,62,6.710974078146505,0
2023-01-05 04:00:00,4,61,11.931612442847804,0
2023-01-05 05:00:00,5,83,13.199789857574439,0
2023-01-05 06:00:00,6,97,14.148364003266897,0
2023-01-05 07:00:00,7,105,14.097522378710185,0
2023-01-05 08:00:00,8,123,20.94278252552998,0
2023-01-05 09:00:00,9,139,25.131989541873093,0
2023-01-05 10:00:00,10,162,25.555964880437845,0
2023-01-05 11:00:00,11,150,25.376120030735347,0
2023-01-05 12:00:00,12,153,28.749358368986687,0
2023-01-05 13:00:00,13,148,26.927030101023313,1
2023-01-05 14:00:00,14,124,32.115921427677584,0
2023-01-05 15:00:00,15,135,29.822946931949758,0
2023-01-05 16:00:00,16,126,25.123940214337924,0
2023-01-05 17:00:00,17,138,26.46971909097811,0
2023-01-05 18:00:00,18,98,25.926603020468463,0
2023-01-05 19:00:00,19,90,21.922095209074165,0
2023-01-05 20:00:00,20,75,19.448208557119653,0
2023-01-05 21:00:00,21,53,14.963005134880248,0
2023-01-05 22:00:00,22,68,16.133081974163314,0
2023-01-05 23:00:00,23,59,11.631993788096253,0
2023-01-06 00:00:00,0,58,7.026855208145547,0
2023-01-06 01:00:00,1,43,9.59822699576853,0
2023-01-06 02:00:00,2,71,11.962299431140707,0
2023-01-06 03:00:00,3,51,9.566882843909422,0
2023-01-06 04:00:00,4,81,14.815715932402655,1
2023-01-06 05:00:00,5,109,13.786868085231559,0
2023-01-06 06:00:00,6,90,15.677516324560733,0
2023-01-06 07:00:00,7,108,17.155013017139577,0
2023-01-06 08:00:00,8,126,19.86342758447142,0
2023-01-06 09:00:00,9,131,22.0613431807862,0
2023-01-06 10:00:00,10,128,24.395461215834946,0
2023-01-06 11:00:00,11,149,28.132802135999775,0
2023-01-06 12:00:00,12,140,26.788591578263254,0
